id,date,user,pc,to,cc,bcc,from,size,attachments,content
{82143AEE534A41B1AB16BD61},06/15/2026 13:47:37,NGF0157,PC-6056,support@demo.corp,,,NGF0157@demo.corp,40242,1,normal email
{BC27D8C268234AE8AE2F5E86},06/15/2026 10:32:31,NGF0157,PC-6056,colleague@demo.corp,,,NGF0157@demo.corp,5087,0,normal email
{C348E34D8B5F4A67931D383C},06/15/2026 11:50:43,NGF0157,PC-6056,support@demo.corp,,,NGF0157@demo.corp,41086,0,normal email
{CBFCF202D690407F894548A4},06/15/2026 16:33:16,NGF0157,PC-6056,colleague@demo.corp,,,NGF0157@demo.corp,46583,0,normal email
{3978C3F7D24140F6A0BE4778},06/15/2026 09:28:51,LRR0148,PC-4275,colleague@demo.corp,,,LRR0148@demo.corp,5315,0,normal email
{83507F73B78745FF865A9CCA},06/15/2026 12:10:26,LRR0148,PC-4275,support@demo.corp,,,LRR0148@demo.corp,33546,0,normal email
{3FC94953122948BD8E12ACD8},06/15/2026 09:10:24,LRR0148,PC-4275,colleague@demo.corp,,,LRR0148@demo.corp,27586,1,normal email
{F4868DC441B34D63B7348F87},06/15/2026 16:18:27,LRR0148,PC-4275,support@demo.corp,,,LRR0148@demo.corp,12144,0,normal email
{3294ED4F359A41A3ABFB97DD},06/15/2026 10:22:49,MOH0273,PC-6699,support@demo.corp,,,MOH0273@demo.corp,42675,0,normal email
{A62E7BF311AE43E5B7AF7451},06/15/2026 12:55:10,MOH0273,PC-6699,manager@demo.corp,,,MOH0273@demo.corp,29020,0,normal email
{22974615AFCD4AFDBD2D2E03},06/15/2026 14:50:59,MOH0273,PC-6699,support@demo.corp,,,MOH0273@demo.corp,45903,0,normal email
{A954CF7808B94B768C5801A5},06/15/2026 10:24:55,MOH0273,PC-6699,colleague@demo.corp,,,MOH0273@demo.corp,32847,0,normal email
{069DC9EC47AC43BCBA559450},06/15/2026 12:58:54,LAP0338,PC-5758,colleague@demo.corp,,,LAP0338@demo.corp,31914,0,normal email
{E37B777A87974B169E891F12},06/15/2026 14:48:57,LAP0338,PC-5758,support@demo.corp,,,LAP0338@demo.corp,42150,1,normal email
{AC2FD7FC24394470A9A4A079},06/15/2026 16:57:10,LAP0338,PC-5758,support@demo.corp,,,LAP0338@demo.corp,31495,1,normal email
{7B21724A8ECA4CFBA6864AAB},06/15/2026 13:49:49,LAP0338,PC-5758,support@demo.corp,,,LAP0338@demo.corp,43074,0,normal email
{17625947825745A2873FF76A},06/15/2026 10:45:13,LAP0338,PC-5758,competitor@external.io,,,david.park@demo.corp,25000000,5,sensitive business data leak
{D53471640F87461B9424A0B5},06/15/2026 16:42:23,BTR0002,PC-6056,colleague@demo.corp,,,BTR0002@demo.corp,35158,1,normal email
{27D34FCB0639481196A6719E},06/15/2026 13:52:31,BTR0002,PC-6056,colleague@demo.corp,,,BTR0002@demo.corp,30411,1,normal email
{A9E8AD5165B44BB6B45D9B38},06/15/2026 16:45:09,BTR0002,PC-6056,support@demo.corp,,,BTR0002@demo.corp,13543,1,normal email
{446770DD51534F4F88356705},06/15/2026 17:29:27,BTR0002,PC-6056,team@demo.corp,,,BTR0002@demo.corp,23122,0,normal email
{6DD41DD037834C5789B5141A},06/15/2026 15:28:58,ACM0001,PC-4275,support@demo.corp,,,ACM0001@demo.corp,21487,1,normal email
{F824A4B53E2A4D28A9C21A5B},06/15/2026 09:39:47,ACM0001,PC-4275,colleague@demo.corp,,,ACM0001@demo.corp,15617,0,normal email
{B92DFEAA592040DFAB6F52EA},06/15/2026 09:10:15,ACM0001,PC-4275,manager@demo.corp,,,ACM0001@demo.corp,38175,0,normal email
{287B731245BD48CB84F70B17},06/15/2026 16:28:44,ACM0001,PC-4275,support@demo.corp,,,ACM0001@demo.corp,21087,0,normal email
{1FAFE39A353E44BAB7FDFAFD},06/15/2026 14:32:45,CNL0003,PC-5758,team@demo.corp,,,CNL0003@demo.corp,29229,1,normal email
{42F9AC95679A4FE09679A0DE},06/15/2026 12:29:35,CNL0003,PC-5758,manager@demo.corp,,,CNL0003@demo.corp,27138,0,normal email
{D184D9173FC5462EAD75B309},06/15/2026 10:55:04,CNL0003,PC-5758,team@demo.corp,,,CNL0003@demo.corp,29193,1,normal email
{830AB5E8642B46FB9520E522},06/15/2026 13:52:00,CNL0003,PC-5758,team@demo.corp,,,CNL0003@demo.corp,49582,1,normal email
{FBB08DDA46A648DFB5D62884},06/15/2026 14:12:24,ADM0099,PC-7811,support@demo.corp,,,ADM0099@demo.corp,8989,0,normal email
{93B3C143629A406A867BC84E},06/15/2026 15:36:18,ADM0099,PC-7811,team@demo.corp,,,ADM0099@demo.corp,3437,1,normal email
{7CCCBC8C164840BBB2623E92},06/15/2026 09:58:38,ADM0099,PC-7811,support@demo.corp,,,ADM0099@demo.corp,20756,0,normal email
{3ADBABC451EB47DD86F9E107},06/15/2026 15:14:40,ADM0099,PC-7811,manager@demo.corp,,,ADM0099@demo.corp,42690,1,normal email
{D71C3615C1D14191AC16CB2A},06/16/2026 14:15:08,NGF0157,PC-6056,manager@demo.corp,,,NGF0157@demo.corp,6496,0,normal email
{A95872176DE44F6AA60E507E},06/16/2026 12:21:49,NGF0157,PC-6056,manager@demo.corp,,,NGF0157@demo.corp,41058,0,normal email
{41E116C708344D8A954A87DD},06/16/2026 10:08:34,NGF0157,PC-6056,team@demo.corp,,,NGF0157@demo.corp,13435,0,normal email
{F1411271716340E992D34C31},06/16/2026 08:08:00,NGF0157,PC-6056,team@demo.corp,,,NGF0157@demo.corp,17593,1,normal email
{DF89AFFBEAA64E5C862ED16C},06/16/2026 15:00:11,LRR0148,PC-4275,manager@demo.corp,,,LRR0148@demo.corp,39114,1,normal email
{45C46C0C28AC46C191153CEC},06/16/2026 08:05:47,LRR0148,PC-4275,manager@demo.corp,,,LRR0148@demo.corp,26654,1,normal email
{A092C03B0C194DA2B814859F},06/16/2026 11:23:19,LRR0148,PC-4275,team@demo.corp,,,LRR0148@demo.corp,39197,0,normal email
{A1078E9FB648434C8BB4BDA2},06/16/2026 10:10:48,LRR0148,PC-4275,colleague@demo.corp,,,LRR0148@demo.corp,46169,0,normal email
{BC43647A26A7465199C3FB0A},06/16/2026 09:28:58,MOH0273,PC-6699,manager@demo.corp,,,MOH0273@demo.corp,23071,1,normal email
{0DA254543E9040BBA20FD01B},06/16/2026 09:28:06,MOH0273,PC-6699,team@demo.corp,,,MOH0273@demo.corp,48813,0,normal email
{D75BBF8CAF2345B8923BE0CD},06/16/2026 11:02:15,MOH0273,PC-6699,support@demo.corp,,,MOH0273@demo.corp,30797,0,normal email
{8C33036123F541B49A1A7FBD},06/16/2026 14:24:26,MOH0273,PC-6699,team@demo.corp,,,MOH0273@demo.corp,46492,0,normal email
